id,pinId,name,stars,grade
3171,4,Parchment Passage,**,HVD
3182,4,Dives/Better Things,***,HS
152382,6,Borchgrevinck / Poor Man's Peuterey,**,S
8359,15,Scavenger,***,VS
11073,21,Owl's Arête,*,VS
11076,21,P.M.C.1,***,HS
4762,28,Hell's Lump,**,VS
29806,29,Morpheus,**,HVD
32255,31,The Arête,**,S
32755,31,Original Route,*,D
32760,31,Direct Route,*,S
34190,31,Sinister,**,HS
62579,33,Original Route Direct (Summer),*,HS
372,38,Scrattling Crack,**,VD
391,38,Shangri-La,***,S
665,43,Kubla Khan,**,HS
155280,43,Hairline Grooves,*,S
41981,50,Strike,*,HS
9550,85,Himmelswillen,***,VS
10508,88,Mutiny Crack,***,HS
10569,88,Amazon Crack,***,HS
11228,94,Sail Chimney,**,S
11172,95,N.M.C. Crack,***,HVD
10230,104,Martello Buttress,***,VS
10245,104,Heaven Crack,***,VD
10267,104,Balcony Buttress,***,S
10321,104,Inverted V,***,VS
10323,104,Robin Hood's Right-hand Buttress Direct,***,HS
10344,104,Christmas Crack,***,HS
10359,104,Hollybush Crack,***,VD
16041,105,Kestrel Crack,**,VS
16500,108,Nasal Buttress,***,HS
16542,108,Answer Crack,***,HVD
20288,116,Medusa,***,VS
15050,123,Atherton Brothers,**,S
15052,123,Via Principia,***,S
16212,131,Route I,***,HS
15793,132,Long Climb,***,S
16689,135,Vivien,**,S
15905,137,The Niche,**,S
15912,137,Pilgrim's Progress,**,HS
100950,152,Green Wall,*,VS
28738,197,Right Angle,***,HS
32272,198,Corner Climb,**,VD
35954,198,Double Overhang,**,VS
48060,198,Dexter,**,VS
803,199,Ochre Slab Route II,**,S
810,199,Ding,**,VS
832,199,Autumn Flakes,**,HS
856,199,Doorway,**,S
1720,201,Skylon,**,HS
1756,201,Main Scoop Route,,HS
2237,202,Hazel Groove, Direct Start,*,VS
2301,202,Scrambler's Gate,,S
57582,204,Zig Zag,*,VS
26061,206,Colonel's Arete,**,VD
26065,206,Central Groove,***,HS
62844,211,Johnstone's Route,*,HS
62869,213,Commando Special,*,VS
1932,218,Pegasus,***,HS
1967,218,Mermaid's Route,*,S
1989,218,Flannel Avenue,***,HS
2014,218,The Girdle Traverse,,S
2479,221,Valerie's Rib,**,HS
32222,221,Christmas Curry,***,S
34284,246,Gimcrack,*,VS
14744,255,Zo-Zo,*,VS
49689,290,Nexus,**,S
6858,306,Blank,***,VS
5991,342,Stoat's Crack,**,HS
6677,344,The Original Route,***,S
6691,344,Centipede,**,S
4182,345,Asterisk,***,VS
4197,345,'D' Route,***,S
4204,345,'B' Route,**,VS
4208,345,Gimmer Chimney,***,VD
3342,355,Gordon and Craig's Route,**,S
3372,355,Woodhouse's Route (Summer),*,VD
3382,355,'C' Ordinary Route (Summer),***,VD
3386,355,Intermediate Gully,*,MVS
3394,355,Hopkinson's Crack,***,HS
8900,362,Western Wall,**,VS
8909,362,Thomas,***,S
8919,362,Trinity Slabs,**,VD
17,373,Pigott's Stride,*,VS
106,373,Bird's Nest Crack,**,HS
119,373,Central Crack,*,HS
37592,373,Whisky Crack,,HS
1273,375,Honister Wall,**,HS
4568,381,Slabs West Route,***,HS
4569,381,Suaviter,***,S
1216,387,January Jigsaw (Summer),***,S
38186,387,Grooved Arête,**,VS
143600,387,Route I (Summer),,VD
157115,429,Myola,***,HS
269971,448,Kestrel wall,***,S
2210,457,Great Slab,***,VS
125175,474,The Wabe (Summer),**,VD
5728,491,Soapgut,**,HS
5732,491,Chimney Route,,HS
5740,491,Rowan Route,**,D
5741,491,Pulpit Route,**,VD
50628,491,North Buttress,**,VD
50666,491,Apex Route,,VD
85384,494,Oblique Buttress,*,S
85405,494,Chasm Route,**,VD
85425,494,Hawk's Nest Buttress,*,S
29208,496,Tennis Shoe,***,HS
29214,496,Groove Above,**,S
35681,496,Javelin Gully,*,HS
63687,514,Longships Ridge,*,D
39250,515,Zeke's Route,**,HS
6336,519,Walker's Gully,***,MVS
6347,519,North Climb,***,S
6357,519,North-West Climb,***,VS
6366,519,West Wall Climb,**,HVD
5455,523,Kern Knotts Crack,**,HVS
5456,523,Innominate Crack,***,VS
29162,530,Amphitheatre Buttress,***,VD
29166,530,Pinnacle Wall,***,S
37500,534,Flake Route (Summer),**,VD
28098,538,Cubic Corner,**,HS
28242,547,Josephine,**,HS
28258,547,A Climb,***,S
28260,547,Ferdinand,**,HS
27245,548,Dental Slab,***,S
4111,554,Butterknife,***,HS
38234,554,The Great Ridge (Summer),**,D
38235,554,Route II,**,S
890,565,Bosigran Ridge a.k.a Commando Ridge,***,VD
8174,662,Abbey Buttress,***,S
8178,662,Eagle's Nest Ridge Direct,***,VS
6994,680,Moss Ghyll,**,S
7000,680,Slingsby's Chimney Route,**,VD
7003,680,Hopkinson's Gully,***,VS
7058,681,Great Eastern Route,**,VS
2401,693,Wreckers' Slab,***,VS
29147,696,Gambit Climb,***,S
104334,698,Little Benjamin,*,S
3275,699,Slow Ledge Climb,**,VS
3294,699,Black Cleft,,S
33052,724,Bridge's Route,***,HS
34124,724,Bower's Route,*,HS
7513,747,Brown Crag Wall,**,VS
7536,747,Ardus,***,VS
1069,753,Bowderstone Pinnacle,**,S
6648,761,Corvus,***,D
6651,761,Raven Crag Gully,***,VD
67772,774,Central Buttress  (Summer),***,VS
7731,780,Direct Route,**,S
7736,780,Cioch West,***,S
7737,780,Crack of Doom,*,HS
7743,780,Wallwork's Route,***,VD
7744,780,Mallory's Slab and Groove,*,VD
20087,797,Jeffcoat's Chimney,**,VD
20098,797,Pedestal Route,***,HVD
20175,798,Slab and Arête,**,S
24982,801,The Cracks,**,HS
33536,828,Main Wall,***,HS
41871,828,Hadrian's Buttress,***,HS
28730,837,Flake Crack,***,S
31289,837,Deception Crack,**,HS
65326,857,Adam Rib,,HS
16124,899,Central Climb,***,VS
16126,899,K2,**,S
16130,899,Modern,**,VS
19037,1055,Grooved Slab,***,VS
19046,1055,The Notch,*,D
45875,1113,Walrus,*,S
49959,1113,Hurricane,*,HS
52499,1113,Integrity,***,HS
33990,1130,Gates of Eden,***,VS
29153,1214,The Sword,,VS
29154,1214,Route 2,,S
49384,1322,Meddler's Crack,,D
49398,1322,Pagan's Purgatory,,VS
18853,1335,Wilderness Gully East (Summer),**,M
24548,1468,Bow-Shaped Slab,***,HS
25928,1622,Wall Street,***,HS
35656,2156,Manx Wall,***,HS
40746,2263,The Gem,***,HS
40968,2551,Pinnacle Ridge (Summer),***,D
65325,2587,Angel Pavement,**,HS
44322,2751,Corrugated Cracks,*,HS
106707,2751,Janos,*,VS
62462,3642,Christmas Retreat,*,VD
86258,3673,Wisdom Buttress,***,S
136799,8935,White Slab,,VD
106166,9546,overhanging chimneys,*,S
32748,13781,Rib and Slab,*,VS
40548,13781,Pencoed Pillar,***,HVD
2370,14619,Crystal Ridge (Summer),***,D
2372,14619,Grey Slab (Summer),***,HS
541,16877,Observatory Ridge (Summer),***,VD
67767,16877,Bayonet Route,**,HS
123462,16877,Route I,**,S
144164,16877,Carn Mor Dearg Arete,,Grade-1
32274,18379,Classic,*,HD
32693,18379,Dulfer,*,S
141657,18767,Owl Chimney,*,VS
16609,27300,The Left Monolith,***,HS
